"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Catoosa County, GA"	"13047"	42	66398	0.63255
	"Chatham County, GA"	"13051"	123	289082	0.42548
	"Chattooga County, GA"	"13055"	15	24824	Unreliable
	"Cherokee County, GA"	"13057"	72	241689	0.29790
	"Clarke County, GA"	"13059"	40	124707	0.32075
	"Clayton County, GA"	"13063"	63	279462	0.22543
	"Cobb County, GA"	"13067"	239	748150	0.31945
	"Coffee County, GA"	"13069"	26	43012	0.60448
	"Colquitt County, GA"	"13071"	25	45708	0.54695
	"Columbia County, GA"	"13073"	71	147450	0.48152
	"Cook County, GA"	"13075"	11	17167	Unreliable
	"Coweta County, GA"	"13077"	44	140526	0.31311
	"Crisp County, GA"	"13081"	14	22721	Unreliable
	"Dawson County, GA"	"13085"	11	23604	Unreliable
	"DeKalb County, GA"	"13089"	222	740321	0.29987
	"Dodge County, GA"	"13091"	10	20563	Unreliable
	"Dougherty County, GA"	"13095"	41	90017	0.45547
	"Douglas County, GA"	"13097"	36	142224	0.25312
	"Effingham County, GA"	"13103"	10	58712	Unreliable
	"Elbert County, GA"	"13105"	13	19143	Unreliable
	"Emanuel County, GA"	"13107"	17	22635	Unreliable
	"Fannin County, GA"	"13111"	11	24900	Unreliable
	"Fayette County, GA"	"13113"	47	111627	0.42105
	"Floyd County, GA"	"13115"	78	96560	0.80779
	"Forsyth County, GA"	"13117"	65	221009	0.29411
	"Franklin County, GA"	"13119"	27	22320	1.20968
	"Fulton County, GA"	"13121"	311	1023336	0.30391
	"Gilmer County, GA"	"13123"	16	29733	Unreliable
	"Glynn County, GA"	"13127"	49	84502	0.57987
	"Gordon County, GA"	"13129"	28	56904	0.49206
	"Grady County, GA"	"13131"	13	24808	Unreliable
	"Gwinnett County, GA"	"13135"	252	907135	0.27780
	"Habersham County, GA"	"13137"	50	44246	1.13005
	"Hall County, GA"	"13139"	76	196637	0.38650
	"Haralson County, GA"	"13143"	19	29042	Unreliable
	"Harris County, GA"	"13145"	10	33652	Unreliable
	"Hart County, GA"	"13147"	27	25553	1.05663
	"Henry County, GA"	"13151"	82	221768	0.36976
	"Houston County, GA"	"13153"	54	152122	0.35498
	"Jackson County, GA"	"13157"	42	64615	0.65000
	"Jones County, GA"	"13169"	12	28623	Unreliable
	"Lamar County, GA"	"13171"	13	18469	Unreliable
	"Laurens County, GA"	"13175"	25	47516	0.52614
	"Liberty County, GA"	"13179"	17	62570	Unreliable
	"Lowndes County, GA"	"13185"	18	114628	Unreliable
	"Lumpkin County, GA"	"13187"	11	31445	Unreliable
	"McDuffie County, GA"	"13189"	12	21490	Unreliable
	"McIntosh County, GA"	"13191"	10	13927	Unreliable
	"Madison County, GA"	"13195"	16	28824	Unreliable
	"Meriwether County, GA"	"13199"	15	21074	Unreliable
	"Monroe County, GA"	"13207"	17	27306	Unreliable
	"Murray County, GA"	"13213"	17	39315	Unreliable
	"Muscogee County, GA"	"13215"	96	197485	0.48611
	"Newton County, GA"	"13217"	31	106999	0.28972
	"Oconee County, GA"	"13219"	17	36838	Unreliable
	"Oglethorpe County, GA"	"13221"	10	14921	Unreliable
	"Paulding County, GA"	"13223"	48	155825	0.30804
	"Peach County, GA"	"13225"	31	26655	1.16301
	"Pickens County, GA"	"13227"	18	30832	Unreliable
	"Polk County, GA"	"13233"	29	41776	0.69418
	"Rabun County, GA"	"13241"	22	16559	1.32858
	"Richmond County, GA"	"13245"	87	201647	0.43145
	"Rockdale County, GA"	"13247"	31	89355	0.34693
	"Screven County, GA"	"13251"	10	14044	Unreliable
	"Spalding County, GA"	"13255"	28	64806	0.43206
	"Stephens County, GA"	"13257"	44	25751	1.70867
	"Sumter County, GA"	"13261"	14	30389	Unreliable
	"Terrell County, GA"	"13273"	10	8967	Unreliable
	"Thomas County, GA"	"13275"	21	45248	0.46411
	"Tift County, GA"	"13277"	24	40828	0.58783
	"Toombs County, GA"	"13279"	16	27196	Unreliable
	"Troup County, GA"	"13285"	35	70005	0.49996
	"Union County, GA"	"13291"	14	22928	Unreliable
	"Upson County, GA"	"13293"	16	26335	Unreliable
	"Walker County, GA"	"13295"	42	67896	0.61859
	"Walton County, GA"	"13297"	35	90184	0.38810
	"Ware County, GA"	"13299"	30	35738	0.83944
	"Washington County, GA"	"13303"	10	20457	Unreliable
	"Wayne County, GA"	"13305"	32	30104	1.06298
	"White County, GA"	"13311"	25	28884	0.86553
	"Whitfield County, GA"	"13313"	56	104589	0.53543
	"Worth County, GA"	"13321"	17	20748	Unreliable
	"Hawaii County, HI"	"15001"	54	198449	0.27211
	"Honolulu County, HI"	"15003"	317	992605	0.31936
	"Kauai County, HI"	"15007"	34	72029	0.47203
	"Maui County, HI"	"15009"	40	165386	0.24186
	"Ada County, ID"	"16001"	183	444028	0.41214
	"Bannock County, ID"	"16005"	40	84377	0.47406
	"Bingham County, ID"	"16011"	14	45201	Unreliable
	"Bonner County, ID"	"16017"	16	42536	Unreliable
	"Bonneville County, ID"	"16019"	30	112232	0.26730
	"Canyon County, ID"	"16027"	73	211698	0.34483
	"Gem County, ID"	"16045"	15	17184	Unreliable
	"Jerome County, ID"	"16053"	12	22994	Unreliable
	"Kootenai County, ID"	"16055"	42	154311	0.27218
	"Nez Perce County, ID"	"16069"	24	40369	0.59452
	"Twin Falls County, ID"	"16083"	40	83514	0.47896
	"Adams County, IL"	"17001"	34	66578	0.51068
	"Boone County, IL"	"17007"	16	53503	Unreliable
	"Bureau County, IL"	"17011"	18	33359	Unreliable
	"Champaign County, IL"	"17019"	55	208419	0.26389
	"Christian County, IL"	"17021"	19	33309	Unreliable
	"Clark County, IL"	"17023"	10	15938	Unreliable
	"Coles County, IL"	"17029"	21	52343	0.40120
	"Cook County, IL"	"17031"	1427	5203499	0.27424
	"Crawford County, IL"	"17033"	10	19308	Unreliable
	"DeKalb County, IL"	"17037"	24	104528	0.22960
	"De Witt County, IL"	"17039"	19	16226	Unreliable
	"Douglas County, IL"	"17041"	11	19630	Unreliable
	"DuPage County, IL"	"17043"	306	929368	0.32926
	"Edgar County, IL"	"17045"	10	17566	Unreliable
	"Effingham County, IL"	"17049"	13	34386	Unreliable
	"Ford County, IL"	"17053"	27	13575	1.98895
	"Franklin County, IL"	"17055"	21	39156	0.53632
	"Fulton County, IL"	"17057"	22	35536	0.61909
	"Grundy County, IL"	"17063"	12	50437	Unreliable
	"Henry County, IL"	"17073"	14	49280	Unreliable
	"Iroquois County, IL"	"17075"	31	28334	1.09409
	"Jackson County, IL"	"17077"	10	58870	Unreliable
	"Jefferson County, IL"	"17081"	20	38460	0.52002
	"Jersey County, IL"	"17083"	17	22025	Unreliable
	"Jo Daviess County, IL"	"17085"	20	21770	0.91870
	"Kane County, IL"	"17089"	72	531715	0.13541
	"Kankakee County, IL"	"17091"	49	110008	0.44542
	"Kendall County, IL"	"17093"	15	124695	Unreliable
	"Knox County, IL"	"17095"	41	50938	0.80490
	"Lake County, IL"	"17097"	157	703047	0.22331
	"LaSalle County, IL"	"17099"	61	110642	0.55133
	"Lawrence County, IL"	"17101"	17	16377	Unreliable
	"Lee County, IL"	"17103"	10	34251	Unreliable
	"Livingston County, IL"	"17105"	14	36526	Unreliable
	"Logan County, IL"	"17107"	13	29527	Unreliable
	"McHenry County, IL"	"17111"	63	307004	0.20521
	"McLean County, IL"	"17113"	73	172418	0.42339
	"Macon County, IL"	"17115"	28	106550	0.26279
	"Macoupin County, IL"	"17117"	19	45908	Unreliable
	"Madison County, IL"	"17119"	126	265759	0.47411
	"Marion County, IL"	"17121"	21	38140	0.55060
	"Montgomery County, IL"	"17135"	24	28952	0.82896
	"Ogle County, IL"	"17141"	17	51273	Unreliable
	"Peoria County, IL"	"17143"	43	185006	0.23242
	"Perry County, IL"	"17145"	13	21357	Unreliable
	"Randolph County, IL"	"17157"	12	32621	Unreliable
	"Rock Island County, IL"	"17161"	52	144784	0.35916
	"St. Clair County, IL"	"17163"	82	262759	0.31207
	"Saline County, IL"	"17165"	11	24307	Unreliable
	"Sangamon County, IL"	"17167"	53	197499	0.26836
	"Stephenson County, IL"	"17177"	12	45624	Unreliable
	"Tazewell County, IL"	"17179"	57	134385	0.42415
	"Vermilion County, IL"	"17183"	22	78111	0.28165
	"Whiteside County, IL"	"17195"	16	56536	Unreliable
	"Will County, IL"	"17197"	172	689529	0.24945
	"Williamson County, IL"	"17199"	32	67560	0.47365
	"Winnebago County, IL"	"17201"	106	285873	0.37079
	"Woodford County, IL"	"17203"	25	39140	0.63873
	"Adams County, IN"	"18001"	17	35232	Unreliable
	"Allen County, IN"	"18003"	135	370404	0.36447
	"Bartholomew County, IN"	"18005"	29	81402	0.35626
	"Boone County, IN"	"18011"	22	64653	0.34028
	"Cass County, IN"	"18017"	20	37946	0.52706
	"Clark County, IN"	"18019"	36	116031	0.31026
	"Clay County, IN"	"18021"	16	26309	Unreliable
	"Clinton County, IN"	"18023"	20	32457	0.61620
	"Daviess County, IN"	"18027"	17	32969	Unreliable
	"Dearborn County, IN"	"18029"	18	49331	Unreliable
	"Decatur County, IN"	"18031"	11	26598	Unreliable
	"De Kalb County, IN"	"18033"	25	42746	0.58485
	"Delaware County, IN"	"18035"	40	115603	0.34601
	"Dubois County, IN"	"18037"	39	42552	0.91653
	"Elkhart County, IN"	"18039"	101	203781	0.49563
	"Fayette County, IN"	"18041"	13	23331	Unreliable
	"Floyd County, IN"	"18043"	60	76990	0.77932
	"Fulton County, IN"	"18049"	10	20139	Unreliable
	"Gibson County, IN"	"18051"	26	33703	0.77144
	"Grant County, IN"	"18053"	45	66937	0.67227
