,Location,FIPS,Life Expectancy,County name,"Total per enrollee (age, sex, race adjusted)","Total per enrollee (age, sex, race, price adjusted)"
25,"Elmore County, Alabama",1051,75.93,AL-Elmore County,"9,185 ","10,769 "
26,"Escambia County, Alabama",1053,74.15,AL-Escambia County,"9,347 ","10,945 "
27,"Etowah County, Alabama",1055,73.85,AL-Etowah County,"10,845 ","12,899 "
28,"Fayette County, Alabama",1057,73.98,AL-Fayette County,"10,109 ","11,724 "
29,"Franklin County, Alabama",1059,73.31,AL-Franklin County,"9,215 ","11,459 "
30,"Geneva County, Alabama",1061,75.54,AL-Geneva County,"9,201 ","11,110 "
31,"Greene County, Alabama",1063,74.05,AL-Greene County,"8,422 ","9,861 "
32,"Hale County, Alabama",1065,74.01,AL-Hale County,"9,396 ","10,711 "
33,"Henry County, Alabama",1067,75.97,AL-Henry County,"8,658 ","10,502 "
34,"Houston County, Alabama",1069,76.81,AL-Houston County,"8,764 ","10,632 "
35,"Jackson County, Alabama",1071,74.13,AL-Jackson County,"10,024 ","11,504 "
36,"Jefferson County, Alabama",1073,75.34,AL-Jefferson County,"9,079 ","10,262 "
