,FIPS,Location,Life Expectancy,RPL_THEMES,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4
1989,48239,"Jackson County, Texas",77.26,0.6492,0.3954,0.609,0.8924,0.6982
1990,48257,"Kaufman County, Texas",75.91,0.5606,0.4941,0.4444,0.8618,0.3999
1991,48265,"Kerr County, Texas",78.76,0.8265,0.5527,0.8392,0.8233,0.8838
1992,48267,"Kimble County, Texas",77.98,0.5349,0.5393,0.787,0.7959,0.1439
1993,48275,"Knox County, Texas",77.49,0.8198,0.625,0.9994,0.9166,0.2401
1994,48277,"Lamar County, Texas",75.51,0.8609,0.6772,0.9675,0.6874,0.7705
1995,48285,"Lavaca County, Texas",78.91,0.6145,0.2585,0.9099,0.7701,0.6765
1996,48289,"Leon County, Texas",76.08,0.5944,0.5269,0.8478,0.8013,0.2388
1997,48293,"Limestone County, Texas",74.62,0.9487,0.8771,0.8093,0.9195,0.8844
1998,48303,"Lubbock County, Texas",76.86,0.7555,0.5336,0.518,0.8641,0.8621
1999,48309,"McLennan County, Texas",77.24,0.8223,0.6148,0.5492,0.9102,0.8879
2000,48319,"Mason County, Texas",79.78,0.2528,0.311,0.4215,0.8227,0.0255
2001,48333,"Mills County, Texas",78.52,0.7036,0.4371,0.9739,0.7498,0.5132
2002,48345,"Motley County, Texas",77.87,0.3244,0.6122,0.581,0.1818,0.0987
2003,48363,"Palo Pinto County, Texas",75.51,0.836,0.5963,0.929,0.8071,0.7695
2004,48365,"Panola County, Texas",75.64,0.5033,0.4155,0.5396,0.7494,0.4005
2005,48379,"Rains County, Texas",76.72,0.5107,0.496,0.695,0.5202,0.384
2006,48381,"Randall County, Texas",79.01,0.2509,0.0968,0.22699999999999998,0.6784,0.4339
2007,48393,"Roberts County, Texas",76.14,0.0131,0.0076,0.9452,0.0229,0.0003
2008,48397,"Rockwall County, Texas",79.76,0.1156,0.0618,0.0898,0.7927,0.1168
2009,48401,"Rusk County, Texas",76.03,0.7879999999999999,0.6205,0.6154,0.8529,0.7934
2010,48407,"San Jacinto County, Texas",76.01,0.7138,0.6718,0.8879,0.7011,0.3604
2011,48415,"Scurry County, Texas",76.99,0.5887,0.3712,0.5065,0.9077,0.5979
