County,County Code,Deaths,Population,Crude Rate
"Poinsett County, AR",05111,6236,470084,1326.6
"Polk County, AR",05113,4975,385850,1289.4
"Pope County, AR",05115,10293,1132957,908.5
"Prairie County, AR",05117,2130,168259,1265.9
"Pulaski County, AR",05119,65048,7172645,906.9
"Randolph County, AR",05121,4322,340869,1267.9
"St. Francis County, AR",05123,5651,533787,1058.7
"Saline County, AR",05125,16867,1930007,873.9
"Scott County, AR",05127,2387,207880,1148.3
"Searcy County, AR",05129,2076,153874,1349.2
"Sebastian County, AR",05131,22613,2328669,971.1
"Sevier County, AR",05133,3084,314622,980.2
"Sharp County, AR",05135,4943,327681,1508.5
"Stone County, AR",05137,2932,230831,1270.2
"Union County, AR",05139,10517,805841,1305.1
"Van Buren County, AR",05141,4348,319005,1363
"Washington County, AR",05143,25224,3700970,681.6
"White County, AR",05145,14469,1407424,1028
"Woodruff County, AR",05147,2184,144927,1507
"Yell County, AR",05149,4730,409839,1154.1
"Alameda County, CA",06001,180640,28753607,628.2
"Alpine County, CA",06003,181,22492,804.7
"Amador County, CA",06005,7758,707640,1096.3
"Butte County, CA",06007,42796,4121873,1038.3
"Calaveras County, CA",06009,8426,842476,1000.1
"Colusa County, CA",06011,2719,392373,693
"Contra Costa County, CA",06013,134727,19696374,684
"Del Norte County, CA",06015,5247,530281,989.5
"El Dorado County, CA",06017,25109,3332480,753.5
"Fresno County, CA",06019,115888,17109722,677.3
"Glenn County, CA",06021,4554,523296,870.3
"Humboldt County, CA",06023,23966,2514582,953.1
"Imperial County, CA",06025,18195,3123258,582.6
"Inyo County, CA",06027,3995,348557,1146.2
"Kern County, CA",06029,102149,15081551,677.3
"Kings County, CA",06031,14897,2764882,538.8
"Lake County, CA",06033,15221,1197730,1270.8
"Lassen County, CA",06035,4316,638164,676.3
"Los Angeles County, CA",06037,1135816,186872154,607.8
"Madera County, CA",06039,18601,2725911,682.4
"Marin County, CA",06041,35121,4776217,735.3
"Mariposa County, CA",06043,3366,337464,997.4
"Mendocino County, CA",06045,15775,1661070,949.7
"Merced County, CA",06047,28987,4687019,618.5
"Modoc County, CA",06049,2047,177999,1150
"Mono County, CA",06051,916,260535,351.6
"Monterey County, CA",06053,45464,7889099,576.3
"Napa County, CA",06055,23299,2548374,914.3
"Nevada County, CA",06057,17912,1843355,971.7
"Orange County, CA",06059,336146,57024421,589.5
"Placer County, CA",06061,48702,6216856,783.4
"Plumas County, CA",06063,4233,380820,1111.5
"Riverside County, CA",06065,269666,38752908,695.9
"Sacramento County, CA",06067,192811,26385117,730.8
"San Benito County, CA",06069,5426,1058602,512.6
"San Bernardino County, CA",06071,235016,37433180,627.8
"San Diego County, CA",06073,378889,58004970,653.2
"San Francisco County, CA",06075,112346,15289836,734.8
"San Joaquin County, CA",06077,91321,12632598,722.9
"San Luis Obispo County, CA",06079,41230,5042237,817.7
"San Mateo County, CA",06081,88651,13681983,647.9
"Santa Barbara County, CA",06083,55976,7979787,701.5
"Santa Clara County, CA",06085,174230,33583639,518.8
"Santa Cruz County, CA",06087,31819,4957443,641.8
"Shasta County, CA",06089,37980,3324225,1142.5
"Sierra County, CA",06091,707,62121,1138.1
"Siskiyou County, CA",06093,10250,840438,1219.6
"Solano County, CA",06095,53879,7884680,683.3
"Sonoma County, CA",06097,73669,9095549,809.9
"Stanislaus County, CA",06099,71404,9579915,745.4
"Sutter County, CA",06101,13832,1717294,805.5
"Tehama County, CA",06103,11712,1160699,1009
"Trinity County, CA",06105,2875,252717,1137.6
"Tulare County, CA",06107,53144,8024281,662.3
"Tuolumne County, CA",06109,11668,1048340,1113
"Ventura County, CA",06111,96602,15370051,628.5
"Yolo County, CA",06113,22389,3692090,606.4
"Yuba County, CA",06115,10591,1311385,807.6
"Adams County, CO",08001,46130,8117056,568.3
"Alamosa County, CO",08003,2282,295836,771.4
"Arapahoe County, CO",08005,61119,10617569,575.6
"Archuleta County, CO",08007,1452,222342,653
"Baca County, CO",08009,1166,74842,1557.9
"Bent County, CO",08011,1189,113908,1043.8
"Boulder County, CO",08013,29591,5662164,522.6
"Broomfield County, CO",08014,4347,836293,519.8
"Chaffee County, CO",08015,3032,334680,905.9
"Cheyenne County, CO",08017,410,37093,1105.3
"Clear Creek County, CO",08019,948,175195,541.1
"Conejos County, CO",08021,1474,157064,938.5
"Costilla County, CO",08023,714,68483,1042.6
"Crowley County, CO",08025,826,107312,769.7
"Custer County, CO",08027,601,77780,772.7
"Delta County, CO",08029,6507,564744,1152.2
"Denver County, CO",08031,83997,11411281,736.1
"Dolores County, CO",08033,360,37241,966.7
"Douglas County, CO",08035,15820,5003263,316.2
"Eagle County, CO",08037,1821,933173,195.1
"Elbert County, CO",08039,2049,431410,475
"El Paso County, CO",08041,69142,11433752,604.7
"Fremont County, CO",08043,9676,889077,1088.3
"Garfield County, CO",08045,5485,1002498,547.1
"Gilpin County, CO",08047,487,99100,491.4
"Grand County, CO",08049,1147,266226,430.8
"Gunnison County, CO",08051,1238,286556,432
"Hinsdale County, CO",08053,71,15321,463.4
"Huerfano County, CO",08055,1916,133427,1436
"Jackson County, CO",08057,224,27237,822.4
"Jefferson County, CO",08059,70584,10225431,690.3
"Kiowa County, CO",08061,387,27663,1399
"Kit Carson County, CO",08063,1429,152865,934.8
"Lake County, CO",08065,747,142380,524.7
"La Plata County, CO",08067,5445,946465,575.3
"Larimer County, CO",08069,33792,5567834,606.9
"Las Animas County, CO",08071,3311,286906,1154
"Lincoln County, CO",08073,1019,107296,949.7
"Logan County, CO",08075,3862,416338,927.6
"Mesa County, CO",08077,24703,2608664,947
"Mineral County, CO",08079,115,14605,787.4
"Moffat County, CO",08081,1809,251287,719.9
"Montezuma County, CO",08083,4890,476266,1026.7
"Montrose County, CO",08085,7183,734105,978.5
"Morgan County, CO",08087,4758,529754,898.2
"Otero County, CO",08089,4416,362624,1217.8
"Ouray County, CO",08091,467,80951,576.9
"Park County, CO",08093,1418,305421,464.3
"Phillips County, CO",08095,974,83667,1164.1
"Pitkin County, CO",08097,852,310627,274.3
"Prowers County, CO",08099,2440,247070,987.6
"Pueblo County, CO",08101,29762,2939309,1012.6
"Rio Blanco County, CO",08103,931,120907,770
"Rio Grande County, CO",08105,2401,227171,1056.9
"Routt County, CO",08107,1663,425690,390.7
"Saguache County, CO",08109,827,117773,702.2
"San Juan County, CO",08111,63,12390,508.5
"San Miguel County, CO",08113,355,139104,255.2
"Sedgwick County, CO",08115,720,47209,1525.1
"Summit County, CO",08117,986,513270,192.1
"Teller County, CO",08119,2385,428406,556.7
"Washington County, CO",08121,965,92585,1042.3
"Weld County, CO",08123,26536,4564258,581.4
"Yuma County, CO",08125,1945,189087,1028.6
"Fairfield County, CT",09001,127813,17345093,736.9
"Hartford County, CT",09003,149795,16777368,892.8
"Litchfield County, CT",09005,32520,3544802,917.4
"Middlesex County, CT",09007,26698,3085908,865.2
"New Haven County, CT",09009,145710,16150183,902.2
"New London County, CT",09011,43280,5115590,846
"Tolland County, CT",09013,17928,2808222,638.4
"Windham County, CT",09015,18894,2189318,863
"Kent County, DE",10001,25047,2914928,859.3
"New Castle County, DE",10003,80968,10100716,801.6
"Sussex County, DE",10005,39158,3588853,1091.1
"District of Columbia, DC",11001,99121,11515629,860.8
"Alachua County, FL",12001,32017,4592868,697.1
"Baker County, FL",12003,4143,487014,850.7
"Bay County, FL",12005,30682,3154554,972.6
"Bradford County, FL",12007,5333,520739,1024.1
"Brevard County, FL",12009,114280,10121379,1129.1
"Broward County, FL",12011,287954,33460519,860.6
"Calhoun County, FL",12013,2926,266136,1099.4
"Charlotte County, FL",12015,43539,3031251,1436.3
"Citrus County, FL",12017,43116,2561157,1683.5
"Clay County, FL",12019,26361,3401696,774.9
"Collier County, FL",12021,52515,5953000,882.2
"Columbia County, FL",12023,13401,1223101,1095.7
"DeSoto County, FL",12027,5706,649360,878.7
"Dixie County, FL",12029,3647,295061,1236
"Duval County, FL",12031,138189,16185622,853.8
"Escambia County, FL",12033,57373,5724160,1002.3
"Flagler County, FL",12035,18053,1600455,1128
"Franklin County, FL",12037,2303,211530,1088.7
"Gadsden County, FL",12039,8653,868822,995.9
"Gilchrist County, FL",12041,3207,306666,1045.8
"Glades County, FL",12043,2036,236136,862.2
"Gulf County, FL",12045,3104,293072,1059.1
"Hamilton County, FL",12047,2545,269944,942.8
"Hardee County, FL",12049,3911,517281,756.1
"Hendry County, FL",12051,5331,721531,738.8
"Hernando County, FL",12053,45234,3077538,1469.8
"Highlands County, FL",12055,26475,1822077,1453
"Hillsborough County, FL",12057,176461,22679776,778.1
"Holmes County, FL",12059,4500,370406,1214.9
"Indian River County, FL",12061,33031,2528670,1306.3
"Jackson County, FL",12063,10415,914181,1139.3
"Jefferson County, FL",12065,2955,266673,1108.1
"Lafayette County, FL",12067,1324,154761,855.5
"Lake County, FL",12069,64101,5325840,1203.6
"Lee County, FL",12071,113286,11198139,1011.7
"Leon County, FL",12073,31054,5069688,612.5
"Levy County, FL",12075,9265,733547,1263
"Liberty County, FL",12077,1173,150242,780.7
"Madison County, FL",12079,4120,358701,1148.6
"Manatee County, FL",12081,66192,6037522,1096.3
"Marion County, FL",12083,79161,5949946,1330.4
"Martin County, FL",12085,33029,2731156,1209.3
"Miami-Dade County, FL",12086,354853,46959790,755.7
"Monroe County, FL",12087,13286,1450174,916.2
"Nassau County, FL",12089,12508,1324265,944.5
"Okaloosa County, FL",12091,28829,3509740,821.4
"Okeechobee County, FL",12093,7797,738407,1055.9
"Orange County, FL",12095,130187,21081186,617.6
"Osceola County, FL",12097,31867,4835289,659.1
"Palm Beach County, FL",12099,259092,24641494,1051.4
"Pasco County, FL",12101,105162,8331672,1262.2
"Pinellas County, FL",12103,224456,17650003,1271.7
"Polk County, FL",12105,110470,10980379,1006.1
"Putnam County, FL",12107,17622,1384836,1272.5
"St. Johns County, FL",12109,27575,3395458,812.1
"St. Lucie County, FL",12111,50682,4880812,1038.4
"Santa Rosa County, FL",12113,21678,2779886,779.8
"Sarasota County, FL",12115,95567,7070180,1351.7
"Seminole County, FL",12117,55015,7860621,699.9
"Sumter County, FL",12119,20973,1633686,1283.8
"Suwannee County, FL",12121,9513,762583,1247.5
"Taylor County, FL",12123,4327,405567,1066.9
"Union County, FL",12125,3635,280957,1293.8
"Volusia County, FL",12127,118414,9286636,1275.1
"Wakulla County, FL",12129,4305,537588,800.8
"Walton County, FL",12131,9747,1008404,966.6
"Washington County, FL",12133,5098,443515,1149.5
"Appling County, GA",13001,3639,342334,1063
"Atkinson County, GA",13003,1398,154537,904.6
"Bacon County, GA",13005,2380,205233,1159.7
"Baker County, GA",13007,645,69105,933.4
"Baldwin County, GA",13009,7641,869563,878.7
"Banks County, GA",13011,2556,325723,784.7
"Barrow County, GA",13013,8826,1202276,734.1
"Bartow County, GA",13015,14195,1779911,797.5
"Ben Hill County, GA",13017,3977,330903,1201.9
"Berrien County, GA",13019,3622,344360,1051.8
"Bibb County, GA",13021,31922,2932222,1088.7
"Bleckley County, GA",13023,2564,237192,1081
"Brantley County, GA",13025,3077,325745,944.6
"Brooks County, GA",13027,3580,304560,1175.5
"Bryan County, GA",13029,3957,556625,710.9
"Bulloch County, GA",13031,8600,1256906,684.2
"Burke County, GA",13033,4435,433685,1022.6
"Butts County, GA",13035,4354,427139,1019.3
"Calhoun County, GA",13037,1309,121901,1073.8
"Camden County, GA",13039,5207,924095,563.5
"Candler County, GA",13043,2472,198809,1243.4
"Carroll County, GA",13045,17229,2001072,861
"Catoosa County, GA",13047,9933,1166514,851.5
"Charlton County, GA",13049,1887,229051,823.8
"Chatham County, GA",13051,43468,4912472,884.8
"Chattahoochee County, GA",13053,659,249123,264.5
"Chattooga County, GA",13055,5655,484994,1166
"Cherokee County, GA",13057,20802,3761496,553
"Clarke County, GA",13059,12796,2166690,590.6
"Clay County, GA",13061,899,60738,1480.1
"Clayton County, GA",13063,27022,4923344,548.9
"Clinch County, GA",13065,1451,130089,1115.4
"Cobb County, GA",13067,69048,12855815,537.1
"Coffee County, GA",13069,6861,779220,880.5
"Colquitt County, GA",13071,8625,842094,1024.2
"Columbia County, GA",13073,13394,2240114,597.9
"Cook County, GA",13075,3421,316858,1079.7
"Coweta County, GA",13077,15395,2238092,687.9
"Crawford County, GA",13079,2062,239373,861.4
"Crisp County, GA",13081,4680,433177,1080.4
"Dade County, GA",13083,3166,307240,1030.5
"Dawson County, GA",13085,3102,393040,789.2
"Decatur County, GA",13087,5834,525256,1110.7
"DeKalb County, GA",13089,77937,13163303,592.1
"Dodge County, GA",13091,4218,393271,1072.5
"Dooly County, GA",13093,2239,256277,873.7
"Dougherty County, GA",13095,16837,1785930,942.8
"Douglas County, GA",13097,14840,2308197,642.9
"Early County, GA",13099,2725,214509,1270.3
"Echols County, GA",13101,461,74514,618.7
"Effingham County, GA",13103,6324,929823,680.1
"Elbert County, GA",13105,4709,382331,1231.7
"Emanuel County, GA",13107,5085,422422,1203.8
"Evans County, GA",13109,2202,205705,1070.5
"Fannin County, GA",13111,5478,432105,1267.7
"Fayette County, GA",13113,12932,1964003,658.5
"Floyd County, GA",13115,19176,1799709,1065.5
"Forsyth County, GA",13117,14627,3055007,478.8
"Franklin County, GA",13119,4915,412422,1191.7
"Fulton County, GA",13121,117921,17112195,689.1
"Gilmer County, GA",13123,4868,517587,940.5
"Glascock County, GA",13125,767,55002,1394.5
"Glynn County, GA",13127,14662,1453837,1008.5
"Gordon County, GA",13129,8643,992353,871
"Grady County, GA",13131,4756,465888,1020.8
"Greene County, GA",13133,3368,299366,1125
"Gwinnett County, GA",13135,61090,14494010,421.5
"Habersham County, GA",13137,7222,778809,927.3
"Hall County, GA",13139,23018,3252275,707.8
"Hancock County, GA",13141,1917,178839,1071.9
"Haralson County, GA",13143,6096,530938,1148.2
"Harris County, GA",13145,4353,563749,772.2
"Hart County, GA",13147,5295,467474,1132.7
"Heard County, GA",13149,2128,217794,977.1
"Henry County, GA",13151,20972,3458577,606.4
"Houston County, GA",13153,17841,2535197,703.7
"Irwin County, GA",13155,2013,182519,1102.9
"Jackson County, GA",13157,9274,1047217,885.6
"Jasper County, GA",13159,2288,248500,920.7
"Jeff Davis County, GA",13161,2913,269426,1081.2
"Jefferson County, GA",13163,3975,317761,1250.9
"Jenkins County, GA",13165,1879,164045,1145.4
"Johnson County, GA",13167,1908,182031,1048.2
"Jones County, GA",13169,4043,517294,781.6
"Lamar County, GA",13171,3519,331108,1062.8
"Lanier County, GA",13173,1448,172417,839.8
"Laurens County, GA",13175,9679,894141,1082.5
"Lee County, GA",13177,3124,520366,600.3
"Liberty County, GA",13179,5720,1202447,475.7
"Lincoln County, GA",13181,1734,153263,1131.4
"Long County, GA",13183,1454,261369,556.3
"Lowndes County, GA",13185,14805,1978818,748.2
"Lumpkin County, GA",13187,4073,524532,776.5
"McDuffie County, GA",13189,4483,408128,1098.4
"McIntosh County, GA",13191,2189,248368,881.4
"Macon County, GA",13193,2920,269082,1085.2
"Madison County, GA",13195,4962,522184,950.2
"Marion County, GA",13197,1484,154495,960.5
"Meriwether County, GA",13199,4845,418954,1156.5
"Miller County, GA",13201,1571,116187,1352.1
"Mitchell County, GA",13205,4527,443824,1020
"Monroe County, GA",13207,4346,477368,910.4
"Montgomery County, GA",13209,1526,169095,902.5
"Morgan County, GA",13211,3109,327770,948.5
"Murray County, GA",13213,6000,742021,808.6
"Muscogee County, GA",13215,34608,3621942,955.5
"Newton County, GA",13217,12814,1714320,747.5
"Oconee County, GA",13219,3642,592662,614.5
"Oglethorpe County, GA",13221,2332,267612,871.4
"Paulding County, GA",13223,12181,2388579,510
"Peach County, GA",13225,4812,493819,974.4
"Pickens County, GA",13227,5103,531472,960.2
"Pierce County, GA",13229,3535,337132,1048.6
"Pike County, GA",13231,2833,313801,902.8
"Polk County, GA",13233,8737,767859,1137.8
"Pulaski County, GA",13235,2149,209490,1025.8
"Putnam County, GA",13237,3881,389619,996.1
"Quitman County, GA",13239,585,46945,1246.1
"Rabun County, GA",13241,3545,303815,1166.8
"Randolph County, GA",13243,1863,143767,1295.8
"Richmond County, GA",13245,36613,3789769,966.1
"Rockdale County, GA",13247,11004,1544117,712.6
"Schley County, GA",13249,734,87083,842.9
"Screven County, GA",13251,3213,279208,1150.8
"Seminole County, GA",13253,2207,168937,1306.4
"Spalding County, GA",13255,12531,1183635,1058.7
"Stephens County, GA",13257,6316,487599,1295.3
"Stewart County, GA",13259,1341,108168,1239.7
"Sumter County, GA",13261,6494,613671,1058.2
"Talbot County, GA",13263,1560,126270,1235.4
"Taliaferro County, GA",13265,499,34546,1444.5
"Tattnall County, GA",13267,4395,456283,963.2
"Taylor County, GA",13269,1921,164755,1166
"Telfair County, GA",13271,2913,285817,1019.2
"Terrell County, GA",13273,2221,186137,1193.2
"Thomas County, GA",13275,9291,836150,1111.2
"Tift County, GA",13277,7139,753217,947.8
"Toombs County, GA",13279,5574,509291,1094.5
"Towns County, GA",13281,2852,196229,1453.4
"Treutlen County, GA",13283,1431,129312,1106.6
"Troup County, GA",13285,12419,1235673,1005
"Turner County, GA",13287,2058,168832,1219
"Twiggs County, GA",13289,2010,178508,1126
"Union County, GA",13291,5082,388786,1307.1
"Upson County, GA",13293,6701,514957,1301.3
"Walker County, GA",13295,14312,1257307,1138.3
"Walton County, GA",13297,12443,1480915,840.2
"Ware County, GA",13299,8382,677406,1237.4
"Warren County, GA",13301,1553,112205,1384.1
"Washington County, GA",13303,4270,397201,1075
"Wayne County, GA",13305,5554,550330,1009.2
"Webster County, GA",13307,452,49579,911.7
"Wheeler County, GA",13309,1175,136373,861.6
"White County, GA",13311,4549,484254,939.4
"Whitfield County, GA",13313,14485,1841594,786.5
"Wilcox County, GA",13315,1943,169016,1149.6
"Wilkes County, GA",13317,2653,197355,1344.3
"Wilkinson County, GA",13319,2116,184120,1149.3
"Worth County, GA",13321,3952,409824,964.3
"Hawaii County, HI",15001,26721,3349125,797.9
"Honolulu County, HI",15003,128875,17826297,722.9
"Kalawao County, HI",15005,25,2054,1217.1
"Kauai County, HI",15007,9601,1240758,773.8
"Maui County, HI",15009,18461,2829689,652.4
"Ada County, ID",16001,44395,7131899,622.5
"Adams County, ID",16003,661,72386,913.2
"Bannock County, ID",16005,11837,1525188,776.1
"Bear Lake County, ID",16007,1214,115730,1049
"Benewah County, ID",16009,2042,173337,1178.1
"Bingham County, ID",16011,5996,836312,717
"Blaine County, ID",16013,1721,396978,433.5
"Boise County, ID",16015,828,132121,626.7
"Bonner County, ID",16017,7037,759545,926.5
"Bonneville County, ID",16019,13476,1867353,721.7
"Boundary County, ID",16021,1923,201939,952.3
"Butte County, ID",16023,510,52655,968.6
"Camas County, ID",16025,124,20212,613.5
"Canyon County, ID",16027,23161,3351552,691.1
"Caribou County, ID",16029,1244,132709,937.4
"Cassia County, ID",16031,3555,424454,837.5
"Clark County, ID",16033,120,17647,680
"Clearwater County, ID",16035,1893,164916,1147.9
"Custer County, ID",16037,719,80167,896.9
"Elmore County, ID",16039,3182,507734,626.7
"Franklin County, ID",16041,1741,235498,739.3
"Fremont County, ID",16043,1859,241236,770.6
"Gem County, ID",16045,3535,311275,1135.7
"Gooding County, ID",16047,2633,282506,932
"Idaho County, ID",16049,3196,302046,1058.1
"Jefferson County, ID",16051,2562,452908,565.7
"Jerome County, ID",16053,2897,397947,728
"Kootenai County, ID",16055,20815,2514949,827.7
"Latah County, ID",16057,4087,700427,583.5
"Lemhi County, ID",16059,1742,147680,1179.6
"Lewis County, ID",16061,801,71569,1119.2
"Lincoln County, ID",16063,690,92023,749.8
"Madison County, ID",16065,2311,655977,352.3
"Minidoka County, ID",16067,3329,377427,882
"Nez Perce County, ID",16069,8647,736722,1173.7
"Oneida County, ID",16071,751,79841,940.6
"Owyhee County, ID",16073,1667,212828,783.3
"Payette County, ID",16075,3714,418575,887.3
"Power County, ID",16077,1089,143992,756.3
"Shoshone County, ID",16079,3354,245183,1368
"Teton County, ID",16081,647,168254,384.5
"Twin Falls County, ID",16083,13022,1406231,926
"Valley County, ID",16085,1225,175110,699.6
"Washington County, ID",16087,2229,190787,1168.3
"Adams County, IL",17001,15463,1276935,1210.9
"Alexander County, IL",17003,2137,158503,1348.2
"Bond County, IL",17005,3334,334879,995.6
"Boone County, IL",17007,6699,958868,698.6
"Brown County, IL",17009,1119,130984,854.3
"Bureau County, IL",17011,7504,658740,1139.1
"Calhoun County, IL",17013,1131,95924,1179.1
"Carroll County, IL",17015,3652,296060,1233.5
"Cass County, IL",17017,2918,255360,1142.7
"Champaign County, IL",17019,22737,3723518,610.6
"Christian County, IL",17021,7863,659274,1192.7
"Clark County, IL",17023,3926,313055,1254.1
"Clay County, IL",17025,3378,264318,1278
"Clinton County, IL",17027,6375,704084,905.4
"Coles County, IL",17029,9543,1010039,944.8
"Cook County, IL",17031,793846,99632326,796.8
"Crawford County, IL",17033,4435,377241,1175.6
"Cumberland County, IL",17035,2273,209921,1082.8
"DeKalb County, IL",17037,12440,1901468,654.2
"De Witt County, IL",17039,3645,314597,1158.6
"Douglas County, IL",17041,3799,378824,1002.8
"DuPage County, IL",17043,110431,17431834,633.5
"Edgar County, IL",17045,4602,354222,1299.2
"Edwards County, IL",17047,1534,127826,1200.1
"Effingham County, IL",17049,6364,651632,976.6
"Fayette County, IL",17051,4339,415258,1044.9
"Ford County, IL",17053,3855,265753,1450.6
"Franklin County, IL",17055,10454,746737,1400
"Fulton County, IL",17057,8854,703291,1258.9
"Gallatin County, IL",17059,1588,109663,1448.1
"Greene County, IL",17061,3188,266067,1198.2
"Grundy County, IL",17063,6866,873519,786
"Hamilton County, IL",17065,2026,159889,1267.1
"Hancock County, IL",17067,4007,365301,1096.9
"Hardin County, IL",17069,1244,84189,1477.6
"Henderson County, IL",17071,1606,142409,1127.7
"Henry County, IL",17073,10123,955496,1059.4
"Iroquois County, IL",17075,7326,568136,1289.5
"Jackson County, IL",17077,8950,1132485,790.3
"Jasper County, IL",17079,1982,186364,1063.5
"Jefferson County, IL",17081,8272,744331,1111.3
"Jersey County, IL",17083,4548,425990,1067.6
"Jo Daviess County, IL",17085,4424,426560,1037.1
"Johnson County, IL",17087,2321,242386,957.6
"Kane County, IL",17089,52603,9263945,567.8
"Kankakee County, IL",17091,20605,2078558,991.3
"Kendall County, IL",17093,8254,1828063,451.5
"Knox County, IL",17095,12992,1010952,1285.1
"Lake County, IL",17097,77495,13047155,594
"LaSalle County, IL",17099,24419,2133858,1144.4
"Lawrence County, IL",17101,4101,312211,1313.5
"Lee County, IL",17103,6993,674918,1036.1
"Livingston County, IL",17105,7977,734623,1085.9
"Logan County, IL",17107,6335,577337,1097.3
"McDonough County, IL",17109,5730,616555,929.4
"McHenry County, IL",17111,34501,5606688,615.4
"McLean County, IL",17113,20612,3128044,658.9
"Macon County, IL",17115,22789,2101633,1084.3
"Macoupin County, IL",17117,10970,906759,1209.8
"Madison County, IL",17119,51454,5037761,1021.4
"Marion County, IL",17121,9697,754908,1284.5
"Marshall County, IL",17123,3199,239594,1335.2
"Mason County, IL",17125,3661,283313,1292.2
"Massac County, IL",17127,3989,288390,1383.2
"Menard County, IL",17129,2390,238991,1000
"Mercer County, IL",17131,3342,312720,1068.7
"Monroe County, IL",17133,5055,601481,840.4
"Montgomery County, IL",17135,6834,569801,1199.4
"Morgan County, IL",17137,7550,677027,1115.2
"Moultrie County, IL",17139,3621,278234,1301.4
"Ogle County, IL",17141,9074,995005,912
"Peoria County, IL",17143,33841,3510122,964.1
"Perry County, IL",17145,4698,424411,1106.9
"Piatt County, IL",17147,3070,313813,978.3
"Pike County, IL",17149,4004,315281,1270
"Pope County, IL",17151,965,82720,1166.6
"Pulaski County, IL",17153,1684,120929,1392.6
"Putnam County, IL",17155,1093,112706,969.8
"Randolph County, IL",17157,7142,633989,1126.5
"Richland County, IL",17159,3819,307038,1243.8
"Rock Island County, IL",17161,28732,2799804,1026.2
"St. Clair County, IL",17163,48113,5001055,962.1
"Saline County, IL",17165,7245,481312,1505.3
"Sangamon County, IL",17167,35145,3699245,950.1
"Schuyler County, IL",17169,1658,139187,1191.2
"Scott County, IL",17171,1135,101544,1117.7
"Shelby County, IL",17173,4582,424404,1079.6
"Stark County, IL",17175,1542,114556,1346.1
"Stephenson County, IL",17177,10083,903395,1116.1
"Tazewell County, IL",17179,25353,2519081,1006.4
"Union County, IL",17181,4416,338924,1302.9
"Vermilion County, IL",17183,18317,1551652,1180.5
"Wabash County, IL",17185,2623,230833,1136.3
"Warren County, IL",17187,3726,340408,1094.6
"Washington County, IL",17189,3081,280517,1098.3
"Wayne County, IL",17191,3960,319119,1240.9
"White County, IL",17193,4354,281121,1548.8
"Whiteside County, IL",17195,12207,1113980,1095.8
"Will County, IL",17197,70385,12025877,585.3
"Williamson County, IL",17199,14287,1233877,1157.9
"Winnebago County, IL",17201,50436,5463085,923.2
"Woodford County, IL",17203,6855,716284,957
"Adams County, IN",18001,5699,650327,876.3
"Allen County, IN",18003,53746,6671887,805.6
"Bartholomew County, IN",18005,13025,1445535,901.1
"Benton County, IN",18007,1715,169593,1011.2
"Blackford County, IN",18009,2900,247314,1172.6
"Boone County, IN",18011,8672,1043262,831.2
"Brown County, IN",18013,2628,287872,912.9
"Carroll County, IN",18015,3396,382341,888.2
"Cass County, IN",18017,7720,746204,1034.6
"Clark County, IN",18019,19927,2024472,984.3
"Clay County, IN",18021,5706,508077,1123.1
"Clinton County, IN",18023,6846,630432,1085.9
"Crawford County, IN",18025,2122,204594,1037.2
"Daviess County, IN",18027,6012,593456,1013
"Dearborn County, IN",18029,7863,925481,849.6
"Decatur County, IN",18031,4683,486621,962.4
"De Kalb County, IN",18033,7005,792755,883.6
"Delaware County, IN",18035,22669,2238758,1012.6
"Dubois County, IN",18037,7186,788019,911.9
"Elkhart County, IN",18039,29070,3698961,785.9
"Fayette County, IN",18041,5828,463618,1257.1
"Floyd County, IN",18043,13503,1400457,964.2
"Fountain County, IN",18045,3805,328388,1158.7
"Franklin County, IN",18047,3707,433634,854.9
"Fulton County, IN",18049,4355,389800,1117.2
"Gibson County, IN",18051,6575,631811,1040.7
"Grant County, IN",18053,15129,1336059,1132.4
"Greene County, IN",18055,6978,625981,1114.7
"Hamilton County, IN",18057,23403,4858821,481.7
"Hancock County, IN",18059,10204,1254707,813.3
"Harrison County, IN",18061,6447,717886,898.1
"Hendricks County, IN",18063,16991,2592048,655.5
"Henry County, IN",18065,10745,925307,1161.2
"Howard County, IN",18067,17299,1587908,1089.4
"Huntington County, IN",18069,7522,708944,1061
"Jackson County, IN",18071,8259,804158,1027
"Jasper County, IN",18073,5461,614440,888.8
"Jay County, IN",18075,4411,407538,1082.4
"Jefferson County, IN",18077,6417,611294,1049.7
"Jennings County, IN",18079,4951,533631,927.8
"Johnson County, IN",18081,21244,2552883,832.2
"Knox County, IN",18083,8561,730054,1172.7
"Kosciusko County, IN",18085,12270,1456799,842.3
"Lagrange County, IN",18087,4542,701907,647.1
"Lake County, IN",18089,90370,9303180,971.4
"La Porte County, IN",18091,21253,2098207,1012.9
"Lawrence County, IN",18093,9815,873753,1123.3
"Madison County, IN",18095,27706,2493888,1111
"Marion County, IN",18097,145220,17038576,852.3
"Marshall County, IN",18099,8172,882974,925.5
"Martin County, IN",18101,1966,195591,1005.2
"Miami County, IN",18103,6530,696368,937.7
"Monroe County, IN",18105,15569,2539202,613.1
"Montgomery County, IN",18107,7206,722847,996.9
"Morgan County, IN",18109,11357,1300955,873
"Newton County, IN",18111,2836,271189,1045.8
"Noble County, IN",18113,7801,897913,868.8
"Ohio County, IN",18115,1088,112376,968.2
"Orange County, IN",18117,4118,372982,1104.1
"Owen County, IN",18119,4178,410039,1018.9
"Parke County, IN",18121,3052,327647,931.5
