,FIPS,Per_Capita_Income,Poverty,Disability,NoHighSchoolDiploma,LifeExpectancy
122,5023,24297.0,15.9,19.3,15.4,77.43
123,5025,21666.0,18.7,22.3,15.1,76.09
124,5027,19893.0,26.8,19.7,16.0,74.65
125,5029,21742.0,22.7,18.7,14.9,76.13
126,5031,23244.0,21.5,15.0,13.5,76.04
127,5033,20104.0,18.8,17.3,15.5,75.97
128,5035,19732.0,25.9,16.3,19.5,72.31
129,5037,18919.0,19.4,21.0,21.5,73.87
130,5039,18261.0,14.5,23.5,16.1,74.44
131,5041,19300.0,31.1,18.8,22.3,73.83
132,5043,17433.0,29.3,19.1,17.1,75.69
133,5045,24703.0,15.1,12.4,10.3,77.23
134,5047,20021.0,19.9,17.5,16.8,75.51
135,5049,19216.0,20.6,24.7,15.5,76.31
136,5051,23514.0,22.1,19.3,13.1,75.66
137,5053,22065.0,11.2,18.3,14.3,75.93
138,5055,20188.0,17.8,19.1,16.2,75.06
139,5057,17866.0,26.3,20.2,19.6,75.08
140,5059,19819.0,14.5,23.3,15.6,75.61
141,5061,20341.0,21.0,17.8,22.4,74.84
142,5063,20222.0,23.2,17.5,18.0,75.69
143,5065,18650.0,18.7,23.0,18.7,75.92
144,5067,15860.0,26.4,21.7,23.1,73.76
145,5069,19847.0,24.5,18.2,15.7,74.18
146,5071,18993.0,21.2,17.2,21.7,76.48
147,5073,17707.0,26.0,22.3,22.3,74.14
148,5075,17064.0,23.6,18.1,18.9,74.83
149,5077,13297.0,29.8,23.2,31.7,73.71
150,5079,14501.0,26.7,20.5,25.0,76.27
151,5081,20073.0,16.4,17.9,14.9,74.98
152,5083,20114.0,17.1,21.4,18.0,75.6
153,5085,23339.0,13.2,15.8,12.8,75.86
154,5087,19930.0,21.1,19.6,23.3,76.42
155,5089,17429.0,18.8,26.7,15.4,76.57
156,5091,20853.0,20.0,17.0,15.4,75.69
157,5093,18732.0,26.7,21.1,21.4,72.66
158,5095,17571.0,30.2,25.3,24.1,73.72
159,5097,18698.0,20.4,31.4,18.3,77.1
160,5099,18254.0,29.4,22.2,18.0,74.72
161,5101,18127.0,20.4,22.1,19.1,77.56
162,5103,19358.0,21.9,22.0,14.5,73.37
163,5105,22534.0,13.5,19.9,16.8,75.51
164,5107,17848.0,34.0,23.3,25.2,71.28
